evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
20 km al O de OllagÃ¼e,-21.187 ,-68.444,2023-12-13,18:37:36,2023-12-13,21:37:36,131,km,2.9,Ml
79 km al N de Huasco,-27.761 ,-71.160,2023-12-13,18:25:55,2023-12-13,21:25:55,33,km,4.0,Ml
53 km al SE de Socaire,-24.033 ,-67.703,2023-12-13,15:51:38,2023-12-13,18:51:38,279,km,4.2,Ml
25 km al N de La Higuera,-29.287 ,-71.243,2023-12-13,14:02:05,2023-12-13,17:02:05,55,km,2.9,Ml
34 km al E de Pica,-20.563 ,-69.014,2023-12-13,13:13:33,2023-12-13,16:13:33,103,km,3.0,Ml
141 km al O de Pichilemu,-34.350 ,-73.548,2023-12-13,11:47:03,2023-12-13,14:47:03,30,km,3.1,Ml
90 km al O de Arica,-18.609 ,-71.169,2023-12-13,10:53:58,2023-12-13,13:53:58,16,km,2.5,Ml
58 km al S de Socaire,-24.090 ,-67.744,2023-12-13,10:36:37,2023-12-13,13:36:37,258,km,4.1,Ml
106 km al E de San Pedro de Atacama,-22.898 ,-67.167,2023-12-13,10:28:40,2023-12-13,13:28:40,243,km,3.5,Ml
161 km al O de Lebu,-37.254 ,-75.420,2023-12-13,09:04:27,2023-12-13,12:04:27,25,km,3.4,Ml
25 km al S de Calama,-22.697 ,-68.931,2023-12-13,08:56:37,2023-12-13,11:56:37,96,km,2.7,Ml
78 km al N de Huasco,-27.768 ,-71.330,2023-12-13,08:14:15,2023-12-13,11:14:15,21,km,2.9,Ml
19 km al SO de Los Vilos,-31.993 ,-71.691,2023-12-13,07:41:13,2023-12-13,10:41:13,20,km,2.5,Ml
49 km al O de OllagÃ¼e,-21.274 ,-68.725,2023-12-13,06:41:32,2023-12-13,09:41:32,123,km,2.6,Ml
47 km al O de ConcepciÃ³n,-36.776 ,-73.572,2023-12-13,04:38:56,2023-12-13,07:38:56,23,km,2.9,Ml
23 km al S de Tocopilla,-22.299 ,-70.223,2023-12-13,04:24:16,2023-12-13,07:24:16,27,km,2.2,Ml
82 km al SE de Antofagasta,-24.332 ,-70.112,2023-12-13,01:53:54,2023-12-13,04:53:54,44,km,2.5,Ml
38 km al SE de Pica,-20.725 ,-69.069,2023-12-12,22:36:26,2023-12-13,01:36:26,102,km,2.7,Ml
64 km al S de Socaire,-24.148 ,-67.739,2023-12-12,21:33:15,2023-12-13,00:33:15,245,km,3.4,Ml
