evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
59 km al S de Putre,-18.719 ,-69.477,2024-12-01,20:33:19,2024-12-01,23:33:19,117,km,2.8,Ml
24 km al S de Pica,-20.703 ,-69.310,2024-12-01,20:32:05,2024-12-01,23:32:05,79,km,2.9,Ml
70 km al NO de Tongoy,-29.820 ,-72.026,2024-12-01,19:23:01,2024-12-01,22:23:01,33,km,2.6,Ml
45 km al NO de Cabo Raper,-46.530 ,-76.074,2024-12-01,17:53:17,2024-12-01,20:53:17,9,km,3.1,Ml
67 km al E de Baquedano,-23.493 ,-69.212,2024-12-01,16:43:23,2024-12-01,19:43:23,96,km,2.5,Ml
17 km al NO de Cabo Raper,-46.714 ,-75.818,2024-12-01,16:07:22,2024-12-01,19:07:22,19,km,2.8,Ml
57 km al NE de Cuya,-18.780 ,-69.811,2024-12-01,16:01:17,2024-12-01,19:01:17,97,km,2.7,Ml
34 km al SE de Pica,-20.743 ,-69.141,2024-12-01,15:55:33,2024-12-01,18:55:33,116,km,2.5,Ml
55 km al NE de Calama,-22.062 ,-68.622,2024-12-01,15:48:34,2024-12-01,18:48:34,126,km,2.7,Ml
33 km al E de San Fernando,-34.490 ,-70.645,2024-12-01,15:03:13,2024-12-01,18:03:13,110,km,2.7,Ml
17 km al S de Salamanca,-31.927 ,-70.932,2024-12-01,14:30:04,2024-12-01,17:30:04,79,km,3.1,Ml
100 km al SE de Socaire,-24.362 ,-67.385,2024-12-01,13:46:16,2024-12-01,16:46:16,197,km,3.9,Ml
8 km al S de Parque Fray Jorge,-30.734 ,-71.670,2024-12-01,12:14:48,2024-12-01,15:14:48,27,km,2.5,Ml
61 km al SO de Mina La Escondida,-24.747 ,-69.345,2024-12-01,12:10:12,2024-12-01,15:10:12,84,km,2.7,Ml
46 km al NE de Cuya,-18.827 ,-69.918,2024-12-01,11:36:50,2024-12-01,14:36:50,27,km,2.7,Ml
10 km al SE de Parque Fray Jorge,-30.730 ,-71.606,2024-12-01,11:28:14,2024-12-01,14:28:14,24,km,3.4,Ml
90 km al NO de San Antonio de los Cobres,-23.641 ,-66.938,2024-12-01,06:05:32,2024-12-01,09:05:32,225,km,3.8,Ml
26 km al N de Tongoy,-30.021 ,-71.513,2024-12-01,04:55:41,2024-12-01,07:55:41,44,km,3.0,Ml
18 km al SE de Calama,-22.599 ,-68.820,2024-12-01,04:05:28,2024-12-01,07:05:28,100,km,3.7,Ml
90 km al E de Mina La Escondida,-24.428 ,-68.190,2024-12-01,01:57:10,2024-12-01,04:57:10,172,km,3.3,Ml
68 km al E de Cabo Raper,-46.645 ,-74.771,2024-12-01,01:37:24,2024-12-01,04:37:24,179,km,3.2,Ml
82 km al O de San Antonio de los Cobres,-23.967 ,-67.076,2024-12-01,00:09:09,2024-12-01,03:09:09,245,km,4.0,Ml
97 km al E de Socaire,-23.409 ,-66.962,2024-12-01,00:03:43,2024-12-01,03:03:43,250,km,3.2,Ml
39 km al O de OllagÃ¼e,-21.353 ,-68.604,2024-11-30,22:35:04,2024-12-01,01:35:04,131,km,3.6,Ml
71 km al S de Socaire,-24.220 ,-67.806,2024-11-30,21:08:10,2024-12-01,00:08:10,240,km,3.4,Ml
